Australian Bureau of Statistics,,
,,
"2016 Census - Counting Employed Persons, Place of Work (POW)",,
SA2 (POW),,
Counting: Persons Aged 15 Years and Over Place of Work,,
,,
Filters:,,
Default Summation,Persons Aged 15 Years and Over Place of Work,
,,
Counting,SA2 (POW),Count
Persons Aged 15 Years and Over Place of Work,Pitt Town - McGraths Hill,4957
Persons Aged 15 Years and Over Place of Work,Rouse Hill - Beaumont Hills,5851
Persons Aged 15 Years and Over Place of Work,Blacktown (East) - Kings Park,20207
Persons Aged 15 Years and Over Place of Work,Blacktown (North) - Marayong,1844
Persons Aged 15 Years and Over Place of Work,Doonside - Woodcroft,1895
Persons Aged 15 Years and Over Place of Work,Lalor Park - Kings Langley,13153
Persons Aged 15 Years and Over Place of Work,Seven Hills - Toongabbie,6857
Persons Aged 15 Years and Over Place of Work,Blacktown (South),1022
Persons Aged 15 Years and Over Place of Work,Blacktown (West),1577
Persons Aged 15 Years and Over Place of Work,Glenwood,1646
Persons Aged 15 Years and Over Place of Work,Parklea - Kellyville Ridge,3758
Persons Aged 15 Years and Over Place of Work,Riverstone - Marsden Park,6698
Persons Aged 15 Years and Over Place of Work,Acacia Gardens,240
Persons Aged 15 Years and Over Place of Work,Quakers Hill,2463
Persons Aged 15 Years and Over Place of Work,Bidwill - Hebersham - Emerton,1470
Persons Aged 15 Years and Over Place of Work,Glendenning - Dean Park,5079
Persons Aged 15 Years and Over Place of Work,Hassall Grove - Plumpton,2164
Persons Aged 15 Years and Over Place of Work,Lethbridge Park - Tregear,1075
Persons Aged 15 Years and Over Place of Work,Mount Druitt - Whalan,6920
Persons Aged 15 Years and Over Place of Work,Prospect Reservoir,17965
Persons Aged 15 Years and Over Place of Work,Rooty Hill - Minchinbury,10373
Persons Aged 15 Years and Over Place of Work,Banksmeadow,5709
Persons Aged 15 Years and Over Place of Work,Botany,7130
Persons Aged 15 Years and Over Place of Work,Mascot - Eastlakes,22410
Persons Aged 15 Years and Over Place of Work,Pagewood - Hillsdale - Daceyville,4243
Persons Aged 15 Years and Over Place of Work,Port Botany Industrial,4380
