INDP Industry of Employment,"Agriculture, Forestry and Fishing, nfd",Agriculture,Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing Support Services","Mining, nfd",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Non-Metallic Mineral Mining and Quarrying,Exploration and Other Mining Support Services,"Manufacturing, nfd",Food Product Manufacturing,Beverage and Tobacco Product Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Wood Product Manufacturing,"Pulp, Paper and Converted Paper Product Manufacturing",Printing (including the Reproduction of Recorded Media),Petroleum and Coal Product Manufacturing,Basic Chemical and Chemical Product Manufacturing,Polymer Product and Rubber Product Manufacturing,Non-Metallic Mineral Product Manufacturing,Primary Metal and Metal Product Manufacturing,Fabricated Metal Product Manufacturing,Transport Equipment Manufacturing,Machinery and Equipment Manufacturing,Furniture and Other Manufacturing,"Electricity, Gas, Water and Waste Services, nfd",Electricity Supply,Gas Supply,"Water Supply, Sewerage and Drainage Services","Waste Collection, Treatment and Disposal Services","Construction, nfd",Building Construction,Heavy and Civil Engineering Construction,Construction Services,"Wholesale Trade, nfd",Basic Material Wholesaling,Machinery and Equipment Wholesaling,Motor Vehicle and Motor Vehicle Parts Wholesaling,"Grocery, Liquor and Tobacco Product Wholesaling",Other Goods Wholesaling,Commission-Based Wholesaling,"Retail Trade, nfd",Motor Vehicle and Motor Vehicle Parts Retailing,Fuel Retailing,Food Retailing,Other Store-Based Retailing,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,"Accommodation and Food Services, nfd",Accommodation,Food and Beverage Services,"Transport, Postal and Warehousing, nfd",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Postal and Courier Pick-up and Delivery Services,Transport Support Services,Warehousing and Storage Services,"Information Media and Telecommunications, nfd",Publishing (except Internet and Music Publishing),Motion Picture and Sound Recording Activities,Broadcasting (except Internet),Internet Publishing and Broadcasting,Telecommunications Services,"Internet Service Providers, Web Search Portals and Data Processing Services",Library and Other Information Services,"Financial and Insurance Services, nfd",Finance,Insurance and Superannuation Funds,Auxiliary Finance and Insurance Services,"Rental, Hiring and Real Estate Services, nfd",Rental and Hiring Services (except Real Estate),Property Operators and Real Estate Services,"Professional, Scientific and Technical Services, nfd","Professional, Scientific and Technical Services (except Computer System Design and Related Services)",Computer System Design and Related Services,"Administrative and Support Services, nfd",Administrative Services,"Building Cleaning, Pest Control and Other Support Services","Public Administration and Safety, nfd",Public Administration,Defence,"Public Order, Safety and Regulatory Services","Education and Training, nfd",Preschool and School Education,Tertiary Education,"Adult, Community and Other Education","Health Care and Social Assistance, nfd",Hospitals,Medical and Other Health Care Services,Residential Care Services,Social Assistance Services,"Arts and Recreation Services, nfd",Heritage Activities,Creative and Performing Arts Activities,Sports and Recreation Activities,Gambling Activities,"Other Services, nfd",Repair and Maintenance,Personal and Other Services,Private Households Employing Staff and Undifferentiated Goods and Service-Producing Activities of Households for Own Use,Inadequately described,Not stated,Not applicable,Total
Main Statistical Area Structure (Main ASGS) (POW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tully,7,793,50,13,16,76,0,0,0,0,4,0,13,290,0,5,6,11,0,0,3,0,8,13,16,14,8,9,0,39,0,7,16,13,198,29,208,0,58,6,0,21,0,3,13,56,28,207,177,0,0,227,145,0,168,3,5,0,4,17,3,0,0,6,0,0,0,6,0,3,0,34,12,3,0,23,57,0,103,7,0,27,45,0,133,11,32,3,243,0,11,18,60,66,91,72,0,17,4,34,0,0,78,85,0,34,7,0,4348
Wooroonooran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yarrabah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,12,3,0,116,0,10,0,82,0,0,3,39,41,5,14,0,3,0,5,0,0,0,26,0,3,0,0,393
Daintree,7,121,11,0,5,10,0,0,0,3,0,0,0,112,3,0,8,0,0,0,0,0,6,8,5,0,0,6,0,18,0,3,3,5,25,6,98,0,12,3,0,11,0,0,12,13,23,90,97,0,0,154,145,4,77,0,10,0,39,14,3,0,0,0,3,0,0,10,0,0,0,17,0,3,0,12,18,0,50,5,0,50,50,0,137,0,16,3,207,4,12,14,91,49,12,57,0,19,0,16,0,0,49,36,0,24,0,0,2125
Port Douglas,0,22,3,0,0,3,0,0,0,0,0,0,5,12,4,0,14,0,25,0,0,0,0,0,0,13,0,8,0,0,0,0,7,0,25,0,66,0,12,0,0,9,4,0,13,0,10,130,197,0,0,636,386,9,74,0,3,3,200,11,8,0,0,18,5,3,0,3,0,0,0,27,0,3,0,25,83,0,84,11,0,79,68,0,16,0,16,0,40,3,10,7,0,54,52,28,0,33,11,15,0,0,27,49,0,23,0,0,2710
Atherton,3,418,4,7,0,15,0,0,0,3,6,9,32,69,5,3,6,0,3,0,0,3,11,23,13,11,16,13,0,43,0,13,18,3,73,19,166,3,82,16,4,23,3,3,28,95,16,259,391,0,0,90,234,0,77,0,0,7,0,19,4,0,0,8,0,0,0,16,4,5,0,63,11,11,0,16,46,0,180,7,0,56,45,0,228,0,70,3,313,30,36,27,238,159,107,161,0,9,3,34,0,0,118,85,0,36,3,0,4475
Herberton,0,188,0,4,3,3,8,3,0,132,3,5,9,15,0,0,36,0,0,3,0,0,8,4,0,0,0,7,0,12,0,0,3,3,22,37,61,0,14,3,0,10,0,0,3,8,5,63,41,4,0,36,35,0,60,0,0,0,0,10,0,0,0,5,0,0,0,0,0,5,0,8,0,0,0,3,7,0,26,4,0,3,11,0,42,0,19,3,199,3,9,15,51,21,19,51,0,16,3,0,0,0,19,19,0,13,0,0,1447
Kuranda,0,33,6,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,3,0,0,0,3,6,0,0,0,0,0,0,16,0,31,0,3,0,0,10,4,0,11,0,9,42,103,3,0,19,77,0,12,4,0,0,5,12,0,0,0,3,0,0,0,0,0,3,0,8,0,3,0,6,9,0,58,15,0,40,15,0,10,0,10,0,85,8,13,3,0,21,7,26,6,48,19,34,0,0,5,17,0,12,0,0,906
Malanda - Yungaburra,0,400,5,0,0,7,3,0,0,0,10,3,18,109,0,0,9,0,3,0,3,0,7,0,3,0,5,10,0,0,0,3,3,0,43,20,126,0,24,3,0,15,0,0,9,6,29,89,69,0,0,86,106,3,56,0,0,0,4,13,9,0,0,3,4,0,0,6,0,3,0,16,0,0,0,5,12,0,121,11,0,13,20,0,66,0,13,0,163,3,18,6,3,48,68,34,0,15,8,15,0,0,48,19,0,27,0,0,2102
Mareeba,0,424,3,0,0,12,8,0,0,5,13,0,19,121,0,9,4,14,7,0,3,0,23,20,18,21,13,11,0,38,0,26,11,3,73,41,159,3,102,7,3,41,7,3,12,48,25,223,197,6,0,24,201,0,84,15,0,13,5,17,3,0,0,12,0,10,0,4,0,9,0,39,7,9,0,23,37,0,122,4,0,67,41,0,282,0,105,0,297,13,21,18,205,111,77,104,0,16,4,13,4,0,96,58,0,29,0,0,3987
Balonne,25,673,0,0,3,89,0,0,4,0,0,0,3,8,3,11,0,0,0,0,4,0,0,0,4,0,0,3,0,13,0,14,0,0,12,22,62,3,32,21,0,10,0,4,15,30,19,67,50,0,0,41,52,0,50,0,0,0,0,16,4,11,0,3,0,0,0,0,0,0,0,21,0,3,0,0,11,0,35,0,0,7,20,0,103,0,23,0,168,0,6,17,93,27,24,38,0,4,0,0,0,0,45,20,3,26,0,0,2096
Chinchilla,0,367,4,4,0,14,11,93,229,0,3,104,26,28,0,6,20,0,0,0,7,0,6,17,5,3,13,9,0,123,68,12,3,21,154,216,214,3,35,17,3,3,0,0,24,51,29,117,140,0,0,126,143,0,104,6,4,0,13,15,0,3,0,10,4,0,0,0,0,3,0,31,5,4,0,30,37,0,159,3,0,17,46,0,67,0,30,0,194,6,9,16,61,56,82,55,0,3,0,9,0,0,74,39,0,47,3,0,3728
Goondiwindi,5,293,0,0,0,74,0,0,0,0,0,0,13,24,0,21,3,0,0,0,10,0,8,6,7,7,21,0,0,20,0,8,4,0,41,52,80,0,88,40,12,3,0,7,11,62,60,121,196,3,0,89,140,0,109,11,0,3,0,14,0,21,0,11,3,0,0,6,0,5,0,46,10,8,0,11,15,0,153,3,0,17,36,0,94,0,21,0,184,9,20,16,97,79,74,73,0,10,0,9,0,0,113,51,0,31,3,0,2905
Inglewood - Waggamba,15,774,0,5,0,18,0,0,0,29,13,0,11,35,0,19,20,0,0,0,0,0,9,8,17,5,0,0,0,3,0,8,0,0,10,17,32,0,17,0,0,11,0,0,3,4,21,46,19,0,0,22,44,0,27,6,0,0,0,8,0,3,0,4,0,0,0,0,0,3,0,11,0,0,0,3,4,0,20,0,0,3,5,0,39,0,9,0,107,0,7,13,62,14,5,23,0,3,0,0,0,0,14,9,0,18,0,0,1674
Miles - Wandoan,3,595,0,0,0,16,3,50,120,0,13,36,6,15,0,0,23,0,0,0,0,0,0,0,4,0,5,0,0,22,31,0,0,0,19,33,121,3,37,0,0,11,0,3,4,5,27,69,54,0,0,78,42,0,50,4,0,0,3,8,0,6,0,0,0,0,0,3,0,4,3,11,3,0,0,3,12,0,39,0,0,8,13,0,77,0,23,0,127,0,8,10,48,28,15,31,0,8,0,3,0,0,23,10,0,29,3,0,2082
Roma,3,77,0,5,0,5,3,6,146,0,5,158,40,28,0,0,10,4,0,0,0,0,9,12,18,7,48,3,0,36,36,4,0,0,51,89,133,8,49,24,3,18,4,14,19,54,18,117,256,3,0,102,137,8,99,29,3,0,0,18,11,7,0,8,4,4,0,13,0,0,0,56,24,9,0,31,38,0,155,3,0,32,23,0,285,0,66,0,211,28,17,31,219,98,66,110,0,7,0,4,0,0,125,55,0,59,0,0,3726
Roma Region,0,1056,0,10,5,16,4,5,163,9,10,53,5,56,0,7,55,0,0,0,10,0,0,9,9,10,0,0,0,6,35,4,8,15,36,114,78,0,32,0,0,3,0,6,7,6,28,45,39,0,0,74,48,6,113,3,9,5,15,11,0,6,0,3,0,0,0,4,0,0,0,3,0,0,0,5,3,0,25,0,0,3,8,0,133,0,16,3,128,0,4,12,59,22,25,22,0,4,3,9,0,0,28,14,0,45,9,0,2822
Tara,0,503,0,3,0,8,0,9,21,0,0,10,0,10,0,0,0,0,0,5,3,0,0,3,0,0,0,0,0,15,8,0,3,4,14,65,28,0,17,0,0,0,0,3,3,6,3,33,26,0,0,21,53,0,40,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,5,0,69,0,12,3,133,0,3,6,20,18,23,22,0,6,0,3,0,0,10,4,0,18,0,0,1333
Crows Nest - Rosalie,0,683,0,11,0,6,4,244,0,3,3,3,22,14,3,0,30,0,0,0,0,0,13,8,17,25,26,0,0,16,0,7,4,3,20,19,83,0,19,6,0,8,0,0,6,7,5,94,50,4,0,14,51,3,62,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,3,13,0,52,9,0,11,24,0,111,0,16,0,152,4,20,3,0,33,100,24,0,4,0,6,0,0,38,23,0,29,3,0,2324
Jondaryan,11,610,0,0,0,17,0,9,3,0,4,4,8,1119,3,0,0,0,0,0,4,0,5,3,15,162,56,0,0,6,0,3,4,3,18,19,67,0,40,6,0,92,7,0,11,13,37,82,69,0,0,19,78,4,188,0,0,23,0,9,6,6,0,4,0,0,0,0,0,3,0,9,0,0,0,3,11,0,105,72,0,33,24,0,119,607,35,4,185,0,28,19,51,33,59,36,0,9,0,10,3,0,37,24,0,27,4,0,4414
Millmerran,3,468,0,0,0,25,3,38,8,0,0,28,3,27,0,0,25,0,0,0,0,0,0,0,0,0,4,4,0,89,0,3,0,0,16,25,58,5,21,3,0,17,0,0,3,6,16,41,24,0,0,8,22,0,56,3,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,15,0,0,0,4,0,50,3,3,3,69,0,3,7,27,10,53,23,0,0,0,0,0,0,28,10,0,13,3,0,1408
Pittsworth,6,553,0,0,0,12,0,10,0,0,0,7,9,37,3,5,3,0,15,0,15,0,3,3,8,76,15,4,0,0,0,4,0,0,15,11,74,4,29,0,0,9,0,0,11,23,16,108,70,4,0,36,65,3,114,0,0,0,0,14,3,3,0,4,0,0,0,0,3,0,0,16,0,0,0,3,19,0,53,0,0,3,13,0,48,0,5,0,145,0,9,8,27,18,50,19,0,0,0,7,3,0,42,34,0,27,0,0,1951
Wambo,16,996,0,3,0,54,13,181,109,0,3,10,91,39,0,8,26,3,0,8,48,10,12,79,87,41,202,9,0,101,5,4,4,21,121,102,355,4,102,70,22,48,4,16,35,143,74,213,436,0,0,104,301,3,175,9,0,4,7,34,0,23,0,8,0,0,0,17,0,3,3,79,22,23,0,19,49,0,258,10,0,44,65,0,330,0,90,7,464,22,50,32,234,143,110,127,0,9,3,23,5,0,182,129,0,106,6,0,7291
Clifton - Greenmount,4,542,0,0,0,12,3,0,0,0,0,0,6,42,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,3,5,3,15,8,46,0,12,4,3,16,3,0,3,3,3,28,27,0,0,7,30,0,36,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,16,3,0,6,11,0,72,0,7,4,124,0,3,3,44,9,5,17,0,9,0,4,0,0,26,4,0,20,3,0,1305
Southern Downs - East,4,379,0,3,0,8,0,0,0,0,11,0,0,30,0,3,11,0,0,0,0,0,0,0,7,4,3,3,0,0,0,0,0,3,15,6,27,0,4,0,0,18,0,0,0,0,6,55,17,0,0,45,30,0,28,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,37,5,0,0,6,0,30,0,7,0,60,3,3,6,0,0,38,14,0,4,0,6,0,0,8,9,0,8,0,0,950
Southern Downs - West,3,403,0,7,0,8,0,0,0,3,11,3,19,24,3,3,3,0,15,0,0,0,0,3,8,3,9,3,0,0,0,0,0,3,22,7,27,0,21,0,0,6,3,0,4,3,12,31,20,0,0,21,22,0,29,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,3,0,22,3,0,3,0,0,3,0,0,0,70,0,8,5,0,9,55,11,0,0,0,3,0,0,12,11,0,11,4,0,1023
Stanthorpe,0,85,0,3,0,11,0,0,0,0,0,0,8,37,0,8,14,0,9,0,0,0,8,5,6,0,0,7,0,19,0,3,5,0,46,9,94,0,20,0,3,19,4,0,11,46,14,159,166,0,0,76,176,0,67,4,0,0,0,23,0,0,0,5,0,0,0,5,3,0,0,42,3,8,0,8,33,0,105,3,0,24,25,0,122,0,35,4,198,19,13,21,90,91,201,89,3,7,3,17,0,0,78,52,0,12,0,0,2478
Stanthorpe Region,9,758,0,0,0,11,0,3,0,0,0,0,10,146,71,15,8,0,3,0,3,0,3,0,4,4,20,0,0,0,0,0,3,0,18,3,34,0,25,0,0,48,3,0,3,0,19,45,19,0,0,36,70,0,44,0,0,0,0,4,0,3,0,3,0,0,0,3,0,0,0,0,4,4,0,0,3,0,30,4,0,14,20,0,13,9,17,0,80,0,5,0,0,0,0,14,0,6,7,0,0,0,25,5,0,7,3,0,1733
Warwick,3,137,0,0,8,7,3,3,0,0,8,0,48,414,0,14,15,6,37,0,55,4,7,25,38,37,24,6,0,142,0,20,15,3,118,82,176,6,71,33,12,62,17,11,40,106,55,362,607,3,0,101,457,4,353,24,0,0,0,39,24,99,0,51,3,3,0,17,0,6,0,88,14,18,0,24,61,0,197,8,0,55,43,0,382,0,83,14,564,52,49,30,255,200,183,169,0,10,4,38,0,0,148,124,0,54,5,0,6896
Central Highlands - East,4,309,0,0,0,0,93,2481,3,0,13,150,5,9,0,0,36,0,0,0,29,4,3,3,11,3,18,4,0,9,0,5,4,29,193,180,266,0,29,50,0,0,0,0,4,3,33,72,62,3,0,137,160,0,78,145,0,0,0,9,4,0,0,8,0,0,0,3,0,3,0,11,0,0,0,64,14,0,62,9,0,56,51,0,103,0,46,3,218,9,6,11,70,59,4,44,0,3,0,6,0,0,165,47,0,50,4,0,5825
Central Highlands - West,11,1001,0,0,0,39,61,2193,16,92,43,210,14,12,0,4,0,0,0,0,9,0,9,15,19,8,18,14,0,11,0,3,7,14,43,98,186,0,39,45,0,3,8,3,10,5,19,82,121,0,0,102,177,3,86,3,0,0,0,23,10,4,0,6,0,0,0,5,0,8,0,18,0,0,0,34,3,0,83,8,0,24,38,3,68,0,17,4,189,27,15,9,45,21,3,33,0,7,3,6,0,0,97,19,0,41,7,0,5754
Emerald,0,57,0,0,0,23,45,186,3,0,0,109,41,20,3,4,10,0,6,3,17,11,13,25,34,13,55,11,0,20,0,20,21,14,136,67,294,5,61,141,21,10,3,6,25,88,16,241,354,6,0,199,254,0,148,58,0,11,0,22,28,9,0,9,3,7,0,17,0,8,0,107,13,9,0,80,71,0,298,7,0,90,52,4,301,0,61,5,416,58,25,20,123,157,47,121,0,8,5,20,3,0,253,126,0,54,0,0,5535
Agnes Water - Miriam Vale,0,168,3,9,3,0,0,0,0,0,0,0,7,11,0,3,4,0,0,0,0,0,4,0,0,0,0,8,0,9,0,8,3,5,42,22,75,0,12,0,0,3,3,0,0,4,35,60,49,0,0,123,88,0,23,3,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,4,37,0,37,0,0,22,13,0,60,0,5,0,116,0,6,4,0,14,3,24,0,3,0,7,0,0,22,15,0,22,3,0,1280
Banana,3,1175,0,0,0,31,31,1423,16,127,11,91,10,23,0,5,21,0,0,3,105,3,4,6,14,3,24,0,0,99,4,19,7,9,41,58,118,3,43,47,0,3,0,4,7,6,32,70,61,0,0,89,94,0,104,3,0,0,0,28,3,5,0,0,0,0,0,0,0,0,0,37,0,0,0,17,15,0,55,3,0,75,58,0,77,0,31,0,214,8,6,13,84,34,42,27,0,4,0,0,0,0,63,15,0,40,3,0,5040
Biloela,0,114,0,0,0,4,3,8,3,0,3,5,14,306,0,3,5,0,0,0,0,0,5,8,0,4,36,6,0,164,0,19,3,4,28,22,140,0,33,15,7,3,0,5,8,64,18,117,154,0,0,91,105,0,50,8,0,0,0,17,3,3,0,8,0,0,0,7,0,3,0,50,8,12,0,18,28,0,105,5,0,37,51,6,202,0,26,0,203,16,19,9,96,54,66,72,0,0,0,11,0,0,82,68,0,17,3,0,2891
Boyne Island - Tannum Sands,0,3,0,0,4,0,4,3,0,18,3,23,14,11,0,0,0,0,3,0,6,0,71,1266,10,0,11,0,0,3,0,3,24,10,65,78,177,4,15,7,0,7,4,0,4,0,17,154,59,3,0,54,145,0,10,0,0,0,0,5,17,3,0,3,0,0,0,0,0,0,0,19,0,0,0,22,41,0,127,7,0,16,25,0,26,0,10,3,263,0,11,7,0,70,31,51,0,0,4,10,0,0,36,43,0,37,3,0,3199
Callemondah,0,0,0,0,0,0,3,7,0,31,7,11,32,7,0,0,12,0,0,0,20,8,12,77,30,36,55,34,0,325,0,0,27,21,35,135,236,0,40,51,4,10,3,0,12,8,0,10,22,0,0,0,31,6,72,133,27,0,10,0,153,3,0,0,3,0,0,0,0,0,0,3,0,0,0,43,0,0,206,0,0,19,14,0,9,0,27,0,8,62,0,0,0,0,0,0,0,0,0,0,0,0,86,3,0,31,3,0,2271
Clinton - New Auckland,0,0,0,0,3,0,4,11,0,0,4,13,32,29,0,0,0,0,0,0,0,0,8,43,20,38,56,0,0,0,0,0,0,14,81,26,159,4,13,0,4,7,3,0,3,28,9,67,155,4,0,23,62,4,37,342,3,25,5,5,14,0,0,0,0,0,0,3,0,0,0,0,0,3,0,28,9,0,76,0,0,7,34,0,8,3,3,0,81,10,8,3,0,29,23,62,0,0,0,9,0,0,65,26,0,30,0,0,1875
Gladstone,0,0,0,0,3,0,6,51,19,5,3,33,59,8,3,19,15,0,10,4,11,10,27,108,40,28,34,16,0,24,3,74,5,67,145,324,352,9,153,99,31,32,13,0,37,156,43,127,373,0,0,190,241,3,169,12,17,0,3,42,427,14,0,29,0,16,0,12,0,4,3,76,21,43,0,60,148,0,604,4,0,200,55,0,448,0,148,13,184,108,48,17,7,185,70,217,0,6,0,36,0,0,233,124,0,57,0,0,6907
Gladstone Hinterland,0,161,0,4,4,5,8,5,46,159,57,22,19,8,0,3,24,0,0,8,216,0,131,466,6,0,7,0,0,11,3,8,20,51,152,150,309,0,28,7,3,8,5,0,9,15,42,160,204,0,0,80,225,0,79,6,0,0,0,5,4,0,0,0,13,0,0,0,0,0,0,20,3,0,3,19,17,0,679,3,0,24,42,0,165,0,10,0,319,9,4,4,3,34,60,16,0,0,3,7,0,0,29,28,0,49,0,0,4542
Kin Kora - Sun Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,28,0,7,0,0,0,0,0,4,0,0,146,81,0,0,7,39,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,11,0,0,19,0,0,4,11,0,3,0,4,0,106,3,4,0,0,26,0,23,0,0,0,4,0,0,6,33,0,9,0,0,652
South Trees,0,0,0,0,0,0,3,0,0,7,0,53,4,0,0,0,0,0,0,0,0,0,11,1016,0,5,0,0,0,3,0,0,65,4,5,62,17,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,4,3,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,15,0,0,1341
Telina - Toolooa,0,0,3,0,3,0,0,5,5,0,0,0,15,0,3,0,5,0,5,0,0,0,75,31,10,3,6,0,0,21,0,0,6,9,41,97,100,0,7,0,0,4,0,0,0,10,0,4,16,0,0,0,14,0,37,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,0,28,0,0,4,13,0,11,0,0,0,59,0,7,0,0,17,47,26,0,0,6,11,0,0,20,17,0,6,0,0,837
West Gladstone,0,0,0,0,0,0,0,0,3,0,3,7,4,9,0,3,0,0,0,0,0,0,6,10,0,0,0,0,0,3,0,0,0,5,25,20,51,0,0,0,0,3,0,0,6,3,0,87,151,0,0,20,150,0,20,8,0,0,0,7,14,0,0,0,3,0,0,0,0,0,0,22,7,18,0,4,18,0,80,4,0,10,18,0,33,0,34,3,220,5,3,21,362,102,8,53,0,0,0,7,3,0,9,29,0,9,0,0,1717
Berserker,0,0,0,0,0,0,0,0,0,0,0,0,13,75,0,0,3,3,0,0,0,3,10,0,3,3,6,5,0,0,0,0,0,0,43,20,79,5,20,17,4,13,0,0,18,62,11,236,265,0,0,40,242,0,48,3,0,0,0,75,0,3,0,0,0,30,0,4,0,3,0,25,12,51,0,19,57,0,165,39,0,90,19,0,99,3,34,3,119,8,21,8,19,113,13,131,0,3,0,49,5,0,126,95,0,22,0,0,2712
Bouldercombe,0,67,0,0,0,0,3,4,0,3,14,14,6,39,0,0,0,0,0,0,20,0,9,0,0,0,0,0,0,0,0,0,0,0,6,17,23,0,4,0,0,0,0,0,0,0,18,0,0,0,0,3,9,0,37,0,0,0,0,5,5,9,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,11,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,13,0,0,412
Emu Park,0,8,0,0,0,0,0,0,0,0,0,3,4,14,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,28,0,45,0,0,3,0,3,3,0,5,0,7,10,31,0,0,57,44,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,4,0,5,18,0,14,3,0,0,17,0,3,0,3,0,37,4,9,5,0,17,78,68,0,0,0,6,0,0,7,20,0,3,0,0,626
Frenchville - Mount Archer,0,5,0,0,3,0,0,3,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,23,0,47,0,0,3,0,4,3,0,0,0,3,40,31,0,0,0,45,0,12,3,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,5,3,3,0,6,0,0,49,3,0,0,8,0,21,0,30,0,253,5,15,3,0,44,3,94,0,0,5,14,0,0,14,22,0,7,3,0,891
Glenlee - Rockyview,0,33,0,0,3,0,3,0,0,0,0,0,3,4,0,5,10,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,11,5,59,0,0,0,3,0,0,0,0,9,0,7,11,0,0,3,15,0,21,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,23,0,0,7,18,0,31,0,150,0,18,4,0,0,6,3,0,14,0,6,0,0,0,0,8,13,0,4,0,0,550
Gracemere,0,51,0,0,0,3,3,3,0,0,0,3,6,9,0,0,0,0,0,0,0,0,0,11,9,17,3,0,0,21,0,0,10,9,34,22,97,0,13,6,7,10,3,0,0,5,19,26,35,3,0,5,42,0,138,128,0,0,7,4,8,0,0,0,0,0,0,5,0,0,0,3,0,0,0,17,30,0,26,0,0,6,9,0,85,0,8,3,126,0,11,0,10,22,61,59,0,3,0,7,0,0,45,16,0,20,0,0,1363
Lakes Creek,0,9,0,0,0,0,0,0,0,0,0,0,6,419,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,8,0,19,3,32,0,4,0,0,5,0,0,7,3,4,14,10,0,0,4,13,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,27,0,0,5,26,0,4,0,3,0,90,0,8,0,0,3,3,28,0,0,0,0,0,0,8,23,0,4,8,0,847
Mount Morgan,0,23,0,0,0,0,4,17,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,11,0,0,0,0,0,0,0,0,0,0,25,18,0,0,9,7,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,3,0,24,0,5,0,66,0,4,3,39,10,27,17,0,0,0,0,0,0,5,8,0,3,3,0,388
Norman Gardens,0,4,0,0,0,0,0,0,0,0,5,0,3,7,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,4,0,30,3,31,0,0,5,0,5,3,0,4,0,10,50,111,0,0,17,76,0,24,3,0,0,0,7,4,0,0,0,0,0,0,3,0,0,0,3,3,3,0,6,10,0,39,3,0,14,22,0,21,0,3,7,110,767,26,4,37,14,68,81,0,3,0,6,3,0,7,33,0,5,3,0,1732
Park Avenue,0,3,0,0,0,0,3,0,0,0,0,0,21,27,0,4,11,0,0,0,3,0,10,14,15,11,16,17,0,223,0,4,14,3,51,71,105,5,28,15,28,13,12,0,13,45,8,121,478,0,0,19,263,3,56,32,0,0,0,10,32,0,0,0,16,0,0,11,0,0,0,46,3,3,0,21,25,0,45,3,0,19,16,0,301,3,14,3,121,4,11,0,16,42,47,58,0,0,0,4,0,0,72,44,0,18,0,0,2792
