INDP - 2 Digit Level,"Agriculture, Forestry and Fishing, nfd",Agriculture,Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing Support Services","Mining, nfd",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Non-Metallic Mineral Mining and Quarrying,Exploration and Other Mining Support Services,"Manufacturing, nfd",Food Product Manufacturing,Beverage and Tobacco Product Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Wood Product Manufacturing,"Pulp, Paper and Converted Paper Product Manufacturing",Printing (including the Reproduction of Recorded Media),Petroleum and Coal Product Manufacturing,Basic Chemical and Chemical Product Manufacturing,Polymer Product and Rubber Product Manufacturing,Non-Metallic Mineral Product Manufacturing,Primary Metal and Metal Product Manufacturing,Fabricated Metal Product Manufacturing,Transport Equipment Manufacturing,Machinery and Equipment Manufacturing,Furniture and Other Manufacturing,"Electricity, Gas, Water and Waste Services, nfd",Electricity Supply,Gas Supply,"Water Supply, Sewerage and Drainage Services","Waste Collection, Treatment and Disposal Services","Construction, nfd",Building Construction,Heavy and Civil Engineering Construction,Construction Services,"Wholesale Trade, nfd",Basic Material Wholesaling,Machinery and Equipment Wholesaling,Motor Vehicle and Motor Vehicle Parts Wholesaling,"Grocery, Liquor and Tobacco Product Wholesaling",Other Goods Wholesaling,Commission-Based Wholesaling,"Retail Trade, nfd",Motor Vehicle and Motor Vehicle Parts Retailing,Fuel Retailing,Food Retailing,Other Store-Based Retailing,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,"Accommodation and Food Services, nfd",Accommodation,Food and Beverage Services,"Transport, Postal and Warehousing, nfd",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Postal and Courier Pick-up and Delivery Services,Transport Support Services,Warehousing and Storage Services,"Information Media and Telecommunications, nfd",Publishing (except Internet and Music Publishing),Motion Picture and Sound Recording Activities,Broadcasting (except Internet),Internet Publishing and Broadcasting,Telecommunications Services,"Internet Service Providers, Web Search Portals and Data Processing Services",Library and Other Information Services,"Financial and Insurance Services, nfd",Finance,Insurance and Superannuation Funds,Auxiliary Finance and Insurance Services,"Rental, Hiring and Real Estate Services, nfd",Rental and Hiring Services (except Real Estate),Property Operators and Real Estate Services,"Professional, Scientific and Technical Services, nfd","Professional, Scientific and Technical Services (except Computer System Design and Related Services)",Computer System Design and Related Services,"Administrative and Support Services, nfd",Administrative Services,"Building Cleaning, Pest Control and Other Support Services","Public Administration and Safety, nfd",Public Administration,Defence,"Public Order, Safety and Regulatory Services","Education and Training, nfd",Preschool and School Education,Tertiary Education,"Adult, Community and Other Education","Health Care and Social Assistance, nfd",Hospitals,Medical and Other Health Care Services,Residential Care Services,Social Assistance Services,"Arts and Recreation Services, nfd",Heritage Activities,Creative and Performing Arts Activities,Sports and Recreation Activities,Gambling Activities,"Other Services, nfd",Repair and Maintenance,Personal and Other Services,Private Households Employing Staff and Undifferentiated Goods and Service-Producing Activities of Households for Own Use,Inadequately described,Not stated,Not applicable,Total
SA2 (POW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gosford - Springfield,0,14,0,0,0,6,8,3,0,3,0,5,87,87,3,47,63,5,30,0,22,16,46,49,93,41,110,62,0,7,0,23,72,48,317,97,524,20,88,61,52,43,86,4,47,317,24,365,1126,3,3,61,932,9,112,134,0,3,0,24,44,19,7,50,9,69,0,42,19,3,8,203,366,144,0,55,254,7,774,115,0,314,195,13,1557,6,477,23,801,127,132,119,3409,1254,266,703,4,37,31,122,7,3,492,458,0,489,203,0,18833
Kariong,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,4,73,0,0,3,0,0,0,0,0,17,15,32,13,0,0,5,43,0,10,0,0,0,0,6,0,0,0,3,5,6,0,0,0,0,0,0,0,6,0,0,12,0,54,8,0,22,32,0,76,0,150,10,261,3,20,3,0,49,17,220,0,0,8,3,0,0,16,23,0,25,13,0,1311
Kincumber - Picketts Valley,0,0,0,0,5,0,0,0,0,4,6,0,0,26,0,4,0,0,12,0,0,19,9,3,6,0,5,8,0,0,0,4,0,6,40,7,110,0,34,8,0,0,5,0,5,6,8,164,74,0,0,3,260,0,160,0,0,0,0,11,0,0,0,3,3,0,0,10,0,0,0,4,3,8,0,11,17,0,63,3,0,17,88,0,24,0,23,3,236,5,31,3,12,116,162,54,0,0,6,42,0,0,42,51,0,61,27,0,2163
Narara,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,8,38,0,0,5,0,0,0,0,5,3,0,4,14,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,4,0,25,10,0,7,16,0,14,0,3,5,267,0,13,0,0,18,17,73,0,0,9,0,0,0,8,35,0,28,15,0,727
Niagara Park - Lisarow,0,4,0,0,0,0,0,0,0,0,0,0,13,489,0,4,8,0,3,0,0,0,4,4,28,25,28,47,0,3,0,0,8,21,31,13,128,6,20,12,3,16,118,0,5,14,6,223,47,0,0,0,134,0,20,0,0,0,0,93,0,9,0,180,4,0,0,49,0,0,0,3,5,10,0,6,7,0,75,11,0,19,14,0,27,0,8,7,220,7,17,0,4,56,104,44,0,0,4,26,0,0,34,26,0,100,23,0,2675
Point Clare - Koolewong,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,0,38,4,0,3,0,0,3,0,4,0,0,21,21,0,0,0,16,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,9,6,0,0,20,0,64,21,0,21,9,0,0,0,0,0,62,0,9,4,3,112,214,37,0,0,5,0,0,0,3,18,0,28,15,0,848
Saratoga - Davistown,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,6,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,52,3,102,0,0,6,0,0,0,0,3,0,0,30,26,0,0,0,96,0,3,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,4,3,0,4,0,8,20,0,39,12,0,13,26,0,7,0,4,5,41,0,5,0,0,28,17,9,0,0,5,0,4,0,17,20,0,27,9,0,704
Terrigal - North Avoca,0,0,0,0,0,0,0,0,0,5,0,0,0,9,4,5,0,0,8,0,3,0,4,0,0,0,4,0,0,3,0,6,0,15,123,11,209,0,0,8,0,5,14,0,11,0,7,41,89,3,4,163,529,3,4,0,0,0,6,45,3,0,3,10,9,5,0,6,0,3,6,24,10,14,0,0,117,0,153,33,0,59,71,0,26,0,17,4,274,8,34,5,3,179,21,85,0,0,15,28,8,0,10,149,0,92,29,0,2863
Umina - Booker Bay - Patonga,0,0,0,3,7,0,0,0,0,0,0,0,3,25,0,3,0,3,4,0,0,0,0,0,0,7,0,3,0,5,0,3,0,15,103,27,178,0,0,4,0,7,3,0,5,0,8,290,211,3,6,88,577,3,45,0,0,0,0,14,10,0,0,12,38,0,0,5,5,0,0,30,12,38,0,6,138,0,202,37,0,55,72,0,63,0,12,6,249,12,44,5,15,193,290,88,5,6,21,15,6,0,35,149,0,85,45,0,3672
Wamberal - Forresters Beach,0,34,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,6,0,0,0,0,3,0,0,0,9,0,0,0,9,75,16,194,0,6,0,0,3,10,0,5,0,16,18,53,6,0,22,127,0,6,0,0,0,0,9,0,0,0,0,0,3,0,5,0,0,0,0,6,7,0,3,25,0,101,21,0,10,26,0,8,0,7,3,219,0,15,5,0,88,26,110,0,0,7,17,0,0,20,46,4,42,12,0,1513
Woy Woy - Blackwall,0,6,0,0,5,3,0,0,0,0,0,0,9,22,0,0,5,0,0,0,0,0,0,6,4,0,7,9,0,0,0,11,5,8,56,18,98,0,24,3,0,5,5,0,10,27,24,256,341,3,0,24,422,0,38,13,0,0,0,12,0,10,0,5,5,0,0,17,0,3,0,46,5,18,0,18,55,0,160,27,0,53,33,0,160,0,61,4,266,4,43,23,306,244,205,212,0,0,18,27,4,0,87,80,0,92,47,0,3835
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,9,23,0,3,18,0,5,0,0,0,0,0,0,7,3,3,0,0,0,0,0,5,15,4,66,0,9,0,0,0,3,0,8,192,21,129,103,0,0,20,279,0,12,0,0,0,0,8,0,5,0,0,0,0,0,9,3,0,0,13,5,13,0,0,28,4,86,18,0,13,49,0,27,0,5,4,151,5,44,7,23,166,446,142,0,0,11,42,6,0,84,81,0,52,30,0,2519
Bateau Bay - Killarney Vale,0,8,0,0,0,0,0,0,0,0,0,0,0,52,0,0,4,0,6,0,0,0,0,0,0,5,10,3,0,4,0,0,3,19,91,19,192,4,0,5,0,8,8,4,23,0,8,475,351,5,0,19,387,4,149,0,0,0,0,15,0,0,0,9,7,0,0,15,6,0,3,45,4,25,0,3,97,0,100,21,0,45,86,0,78,0,38,8,218,11,27,31,73,232,488,162,0,0,9,24,0,0,28,120,0,84,45,0,4032
Blue Haven - San Remo,0,7,0,0,0,0,0,0,0,0,5,0,3,0,0,3,4,0,0,0,0,0,17,0,0,0,0,0,0,13,0,0,0,4,25,24,74,0,3,0,3,0,0,0,3,0,8,91,27,0,0,5,154,3,26,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,3,4,3,0,0,6,0,24,4,0,12,25,0,23,0,10,0,255,0,7,0,3,25,0,76,0,0,3,14,0,0,36,33,0,19,16,0,1110
Budgewoi - Buff Point - Halekulani,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,3,38,4,85,0,0,0,0,0,0,0,5,6,0,101,45,0,0,11,174,0,16,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,8,0,4,0,0,32,0,42,8,0,9,32,0,8,0,6,0,93,0,7,0,6,41,6,25,0,7,0,8,0,0,8,36,0,26,17,0,949
Chittaway Bay - Tumbi Umbi,0,4,0,0,3,0,14,15,0,0,0,0,72,877,0,3,53,7,7,4,145,14,22,34,15,68,130,14,0,11,0,8,5,22,130,42,299,8,25,10,6,24,13,0,6,7,17,110,83,3,0,13,523,11,174,0,0,0,0,55,10,16,0,0,4,0,0,31,9,3,0,0,8,9,0,22,14,0,104,32,0,55,92,0,16,0,55,3,253,4,28,9,153,100,148,96,3,0,15,46,0,0,122,66,0,227,49,0,4923
Gorokan - Kanwal - Charmhaven,0,0,0,0,0,0,0,0,0,0,0,0,4,41,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,6,49,8,159,4,4,3,9,4,0,0,17,30,26,372,650,3,0,19,624,4,24,0,0,0,0,16,0,0,0,5,19,0,0,17,0,0,6,84,12,13,0,14,103,0,92,14,0,76,57,0,95,0,12,3,323,4,14,11,45,189,398,118,4,0,3,48,9,0,36,87,0,83,59,0,4151
Jilliby - Yarramalong,0,53,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,27,0,0,3,5,3,0,0,0,0,6,3,21,13,81,0,12,3,0,0,6,0,7,0,15,0,11,0,0,3,122,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,11,0,17,10,0,11,18,0,15,0,4,5,27,0,9,0,0,5,8,70,0,11,3,33,0,0,10,31,0,36,9,0,786
Lake Munmorah - Mannering Park,3,25,0,0,0,0,0,167,0,3,4,0,3,5,0,0,0,0,4,0,0,0,0,3,5,0,4,0,0,253,0,0,10,8,59,7,116,0,13,0,6,0,0,0,0,0,16,151,46,0,0,17,68,0,18,3,0,0,0,7,5,0,5,0,0,0,0,5,0,0,0,3,3,0,0,4,37,0,39,15,0,26,23,0,16,0,18,5,264,4,9,0,0,57,23,34,0,4,4,0,0,0,17,41,0,69,25,0,1798
Ourimbah - Fountaindale,0,25,0,0,0,3,7,7,0,0,0,9,52,12,0,8,52,0,3,0,7,19,0,8,22,19,4,26,0,174,0,0,3,8,34,21,141,0,17,25,0,6,10,0,4,3,10,0,49,9,0,9,71,0,26,0,3,0,0,7,4,8,0,8,7,0,0,0,0,0,0,0,0,5,0,8,5,0,82,18,0,11,36,0,42,0,10,4,110,319,23,3,3,54,11,66,0,3,5,9,0,0,36,70,0,97,19,0,2003
Summerland Point - Gwandalan,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,23,7,53,0,0,0,0,0,3,0,0,0,5,34,13,0,0,3,44,5,9,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,7,0,20,0,0,4,14,0,9,0,3,0,48,0,10,0,0,13,0,13,0,0,0,10,0,0,18,19,0,17,11,0,460
The Entrance,0,0,0,0,0,0,0,0,0,0,0,0,3,24,0,7,7,0,0,0,3,0,0,0,0,0,3,9,0,0,0,0,3,8,73,15,209,4,21,4,8,7,8,0,21,16,16,124,197,0,4,239,566,6,26,0,0,4,0,9,4,9,0,0,11,0,0,0,0,0,0,21,3,31,0,7,135,4,167,19,0,59,77,0,57,0,79,8,262,10,33,12,20,142,8,57,4,0,11,38,5,0,66,107,0,100,28,0,3226
Toukley - Norah Head,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,4,0,0,0,0,0,0,4,4,3,0,11,0,4,3,7,36,10,96,0,3,4,0,0,0,0,9,3,0,125,121,0,0,52,233,0,12,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,13,4,32,0,6,77,0,111,5,0,14,35,0,48,0,35,0,108,3,29,14,12,230,273,78,0,0,0,39,0,0,42,73,0,48,26,0,2153
Tuggerah - Kangy Angy,0,53,0,0,16,0,7,15,0,0,0,3,66,33,5,15,54,13,32,0,5,6,4,58,280,11,28,43,0,88,0,9,12,54,294,107,423,23,64,127,19,42,102,0,41,160,23,330,1324,4,0,0,610,6,140,4,0,0,0,166,11,44,6,32,34,5,0,61,18,5,4,372,40,74,0,54,130,0,386,83,0,260,100,0,346,0,290,26,201,30,73,17,6,208,203,315,3,0,9,103,0,0,207,189,0,295,98,0,9297
Warnervale - Wadalba,0,8,0,0,0,0,0,0,0,0,0,0,21,41,0,20,99,3,9,0,0,0,9,17,9,0,3,17,0,0,8,24,0,14,81,39,243,5,16,24,30,29,12,0,11,14,16,314,197,0,0,8,267,19,305,0,4,0,4,66,5,197,0,0,0,3,0,4,0,0,0,5,5,16,0,0,19,0,80,28,0,46,87,0,150,0,44,9,553,11,53,45,1255,306,264,345,0,0,4,28,0,0,111,52,0,136,62,0,5944
Wyong,0,3,0,0,5,8,8,16,0,0,0,4,45,75,0,9,17,25,15,0,13,32,11,13,36,11,142,5,0,11,4,40,27,23,95,39,209,10,41,6,8,24,13,0,9,50,25,114,88,5,0,82,382,8,104,22,0,0,4,6,0,12,4,6,4,5,0,70,9,0,0,22,10,19,0,20,86,0,150,23,0,89,52,0,814,0,227,12,341,96,35,11,72,133,39,282,3,5,12,90,0,0,77,97,0,167,62,0,5123
Bathurst,0,87,0,46,0,39,7,0,0,3,3,0,60,202,8,18,45,3,33,0,0,4,24,60,19,8,46,23,0,16,0,22,34,37,238,94,511,4,86,42,4,25,8,19,60,153,28,521,748,3,0,184,940,13,144,23,0,4,0,33,4,6,0,29,31,23,0,114,33,7,0,131,33,78,0,42,152,4,575,36,0,145,203,11,877,13,502,39,790,829,119,45,586,557,299,562,0,22,25,132,0,0,182,323,0,297,145,0,12748
Bathurst - East,4,48,0,10,0,9,0,0,0,4,3,0,45,547,0,0,28,0,0,0,5,8,3,20,11,13,14,4,0,106,0,0,9,14,82,43,220,5,21,10,3,28,21,3,10,47,26,58,287,0,0,32,146,18,180,3,0,5,0,71,0,29,0,0,0,0,0,11,3,0,0,5,0,3,0,29,0,0,61,5,0,43,83,0,19,0,6,5,339,7,14,7,0,21,171,125,0,7,0,18,0,0,116,42,0,117,30,0,3560
Bathurst Region,0,411,0,0,0,16,7,0,0,5,7,0,0,10,12,0,0,0,0,0,4,0,26,4,5,0,6,0,0,0,0,3,3,4,25,10,63,0,3,5,0,0,0,0,0,3,7,12,38,0,0,20,45,3,25,0,0,0,0,8,5,0,0,4,0,0,0,0,0,0,0,3,0,0,0,3,11,0,43,11,0,13,28,0,12,0,73,0,61,9,15,0,6,10,3,5,0,8,6,12,0,0,23,14,0,29,23,0,1224
Oberon,4,284,0,81,0,12,0,0,0,3,12,0,39,15,4,0,392,0,0,0,16,0,3,9,10,3,0,0,0,7,0,7,6,4,19,4,57,0,21,0,0,0,3,0,3,6,9,65,34,0,0,44,78,0,76,0,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,13,0,0,0,0,15,0,47,6,0,21,14,0,79,0,53,0,105,5,3,3,21,24,44,14,0,54,4,6,0,0,32,17,0,111,36,0,2078
Condobolin,8,664,0,4,0,31,7,0,0,39,0,3,27,8,0,0,10,0,18,0,0,0,4,16,22,0,15,16,0,22,0,17,0,11,13,3,40,0,23,23,0,0,3,9,11,4,20,89,56,0,0,24,94,0,55,0,0,4,0,15,0,4,0,4,0,0,0,3,0,4,0,12,4,0,0,0,6,0,57,0,0,14,24,0,132,0,19,5,250,4,9,14,83,83,64,71,0,0,0,11,0,0,42,32,0,86,47,0,2530
Cowra,0,182,0,0,0,25,0,0,0,0,0,0,8,158,0,10,9,0,0,0,0,0,12,22,17,10,60,61,0,19,0,12,5,14,48,18,113,0,24,40,19,7,9,17,31,49,14,160,219,0,0,49,271,9,98,5,0,7,0,33,6,4,0,11,0,0,0,6,0,0,0,36,8,12,0,6,35,0,103,5,0,47,45,0,202,0,33,4,301,25,29,14,104,129,200,139,0,5,7,17,5,0,105,74,0,94,39,0,3728
Cowra Region,8,703,0,0,0,21,0,0,0,3,0,0,0,16,10,3,0,0,0,0,0,0,0,4,0,0,7,0,0,11,0,3,0,5,13,4,27,0,15,7,0,0,0,7,7,3,9,42,38,0,5,23,66,4,23,0,0,0,0,7,0,3,0,6,0,0,0,0,0,0,0,5,0,0,0,0,8,0,39,0,0,4,18,0,11,0,4,3,107,4,8,0,35,35,30,21,0,0,0,3,0,0,13,16,0,34,29,0,1569
Forbes,16,723,6,5,0,45,0,0,0,0,8,0,29,38,0,26,4,0,4,0,12,0,15,29,15,14,11,0,0,28,0,13,10,6,52,23,126,0,69,26,9,8,6,24,27,46,33,176,191,0,0,36,189,11,83,0,0,0,0,21,11,9,0,6,0,0,0,3,0,0,4,46,9,7,0,12,16,0,136,0,0,21,44,0,125,6,36,9,394,17,25,9,118,103,127,140,0,7,0,7,0,0,87,60,0,115,80,0,3988
Grenfell,0,476,0,0,0,23,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,5,12,4,31,0,22,3,0,7,0,4,0,6,11,33,31,0,0,10,38,3,18,0,0,0,0,7,0,0,0,3,0,0,0,0,3,0,0,6,0,5,0,0,3,0,30,0,0,9,14,0,69,0,3,0,80,0,0,6,42,16,10,24,0,0,0,5,0,0,26,14,0,38,21,0,1229
Parkes (NSW),5,63,0,0,0,23,14,4,0,19,10,13,4,15,0,3,10,0,0,0,0,17,13,9,3,20,26,0,0,28,4,14,3,17,36,55,135,5,31,38,4,20,0,0,13,71,28,189,270,0,0,86,297,20,97,96,0,3,0,38,17,30,0,5,0,7,0,8,0,0,0,47,5,10,0,21,29,0,100,10,0,44,72,0,289,0,129,4,332,26,21,8,133,116,177,164,0,0,0,31,0,0,135,71,0,85,59,0,4058
Parkes Region,5,529,0,0,0,15,13,3,0,340,0,5,0,0,0,0,0,0,0,0,9,0,0,4,0,0,5,0,0,4,0,0,0,0,3,0,12,0,8,5,0,0,0,0,0,0,3,12,12,0,0,11,42,4,29,4,0,6,0,5,0,9,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,0,27,3,0,9,12,0,3,0,6,0,94,0,4,0,33,17,22,5,0,3,0,4,0,0,12,12,0,29,16,0,1437
West Wyalong,4,696,0,5,0,29,4,0,0,288,17,3,10,14,0,0,0,0,0,0,3,0,0,14,8,6,43,0,0,7,0,3,6,4,19,25,59,0,11,9,0,0,0,4,6,23,22,72,68,0,0,47,107,7,56,6,0,0,0,22,0,17,0,3,0,0,0,0,0,0,0,16,0,4,0,13,13,0,57,0,0,16,24,0,110,0,15,0,166,23,7,0,29,50,44,38,0,5,0,0,0,0,74,30,0,58,51,0,2589
Lithgow,0,12,0,0,0,4,3,38,0,0,5,5,14,29,13,4,12,8,46,0,3,7,13,8,106,19,5,3,0,29,0,0,4,16,34,35,135,0,19,10,0,81,15,0,19,69,16,221,291,0,0,70,368,17,78,92,0,0,0,36,12,5,0,6,0,6,0,13,4,5,0,50,98,8,0,40,38,0,141,7,0,108,72,0,432,97,328,0,311,64,31,8,183,178,181,166,0,13,10,22,0,0,83,113,0,113,52,0,5011
Lithgow Region,8,168,0,0,0,10,9,717,0,4,26,8,15,10,0,0,6,0,0,0,0,0,3,6,5,0,4,3,3,243,0,19,4,18,31,18,111,0,11,4,4,4,4,0,0,3,0,36,35,0,0,127,100,4,49,5,0,0,0,20,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,11,0,41,6,0,16,28,0,28,0,28,4,125,4,3,0,9,22,18,20,0,0,13,4,0,0,33,26,0,63,25,0,2430
Mudgee,0,104,0,0,0,18,15,101,0,0,5,32,24,53,36,5,4,0,6,0,6,3,4,23,23,9,6,4,0,34,0,21,24,22,84,45,269,3,61,38,6,22,5,6,30,96,39,257,385,0,0,141,414,8,64,16,0,14,0,39,0,0,0,7,0,10,0,19,16,7,0,54,17,16,0,14,63,0,231,16,0,60,79,0,256,0,82,4,369,32,26,12,143,159,186,218,0,16,4,47,0,0,200,129,0,99,45,0,5244
Mudgee Region - East,0,184,0,0,0,8,4,9,0,0,7,0,11,10,0,0,4,0,0,0,0,3,15,6,5,0,0,6,0,8,0,0,0,0,7,4,27,0,5,0,0,0,0,0,0,0,11,46,34,4,0,13,58,3,11,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,7,0,20,3,0,13,14,0,24,0,8,4,106,0,0,0,33,17,28,8,0,0,4,0,0,0,14,11,0,29,11,0,872
Mudgee Region - West,4,652,0,0,0,21,16,1439,0,12,28,23,3,5,89,3,0,0,0,3,3,0,5,3,6,0,5,6,0,10,0,4,0,11,43,29,105,0,28,8,0,4,0,5,13,0,12,73,49,0,0,56,103,12,42,4,0,0,0,17,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,0,22,0,58,7,0,20,57,0,23,0,10,0,197,30,11,0,46,38,30,27,0,4,11,13,0,0,77,24,0,62,47,0,3805
Wollangambe - Wollemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blayney,0,354,0,0,0,12,6,4,0,636,0,11,6,302,3,3,3,0,0,0,5,0,11,3,7,0,0,0,0,6,0,19,10,4,49,8,88,0,35,0,0,35,4,6,7,0,15,97,54,0,0,23,124,6,43,4,0,0,0,12,0,10,0,5,5,0,0,0,0,0,0,15,0,0,0,0,19,0,72,4,0,22,30,0,87,0,16,0,171,6,7,6,46,34,47,40,0,0,5,3,0,0,43,55,0,77,50,0,2923
Orange,9,65,0,0,0,18,8,0,0,144,6,57,57,91,17,16,60,3,15,0,19,11,19,59,33,31,133,15,0,113,3,17,15,28,179,47,419,9,67,94,26,27,45,10,50,226,50,509,1031,3,7,180,985,21,238,0,0,24,0,111,23,27,5,42,16,47,0,47,8,7,5,224,43,84,0,37,196,0,654,72,0,167,212,6,1273,4,223,26,1099,283,118,71,1413,982,399,721,0,6,11,93,10,0,337,296,4,304,151,0,15198
Orange - North,0,46,0,0,0,8,10,0,0,71,6,30,47,25,5,6,11,0,5,0,4,6,28,22,33,22,24,13,0,0,0,0,48,24,170,15,279,0,42,35,15,9,6,0,11,66,13,110,167,4,0,15,147,10,197,0,0,0,3,8,0,30,0,0,5,0,0,3,0,0,0,4,5,14,0,18,10,0,109,17,0,25,58,0,83,16,23,10,186,159,17,12,0,75,96,203,0,3,9,16,0,0,125,54,0,109,23,0,3344
Orange Region,11,883,0,0,0,31,9,4,0,362,23,10,18,267,82,8,3,6,0,5,4,0,8,35,6,11,11,6,0,16,0,3,12,7,53,37,156,4,16,18,0,3,3,12,4,4,12,52,54,0,0,25,91,0,42,0,0,9,0,20,3,7,0,7,4,4,0,0,0,0,0,6,3,5,0,3,14,0,84,6,0,54,56,0,145,0,20,6,184,12,11,6,109,64,30,51,0,0,7,10,0,0,54,39,6,78,53,0,3618
Grafton,7,96,0,58,0,33,0,0,0,0,10,0,31,55,0,3,209,4,10,0,0,3,35,38,34,5,18,22,0,97,0,11,29,26,92,195,276,4,62,29,22,11,4,0,28,103,61,365,693,3,0,112,638,24,286,41,0,3,0,73,15,3,0,23,5,9,0,42,8,9,7,103,17,22,0,30,107,0,253,9,4,113,121,6,680,4,466,15,633,74,69,36,475,380,375,511,0,28,5,81,4,0,264,170,0,218,112,0,9433
Grafton Region,4,487,15,15,7,9,0,0,0,0,19,0,4,8,0,4,87,0,0,0,3,0,3,4,3,3,4,5,0,0,0,0,0,15,42,58,96,0,25,0,11,0,0,3,3,0,34,20,36,0,0,53,88,0,29,0,9,0,0,8,0,0,0,0,5,0,0,3,12,0,0,0,4,0,0,4,8,0,71,12,0,20,27,0,28,0,30,0,199,9,8,3,0,10,39,31,0,0,7,10,0,0,17,17,0,74,33,0,1950
Maclean - Yamba - Iluka,4,102,25,0,62,9,0,0,0,0,6,0,3,171,0,9,5,0,3,0,0,0,4,3,9,59,4,18,0,16,0,9,10,32,72,105,166,0,39,15,0,36,7,0,32,17,30,299,292,3,0,185,476,6,92,0,3,0,7,30,16,4,0,15,3,0,0,6,0,5,0,36,8,11,0,11,106,0,172,15,0,42,108,0,167,0,28,6,345,21,35,12,145,191,280,117,0,13,8,33,0,0,95,106,0,112,68,0,4844
Bellingen,0,79,0,5,0,6,0,0,0,0,0,0,0,18,4,6,39,0,0,0,3,0,3,7,0,0,25,6,0,0,0,7,5,3,29,0,57,3,4,6,0,0,6,0,0,0,11,112,73,0,0,30,141,0,19,0,0,0,0,6,0,0,0,17,3,0,0,0,0,0,4,9,0,10,0,4,24,0,84,21,0,20,28,0,94,0,4,4,176,12,19,0,99,97,84,33,0,0,10,9,0,0,26,35,0,53,27,0,1706
Coffs Harbour - North,0,75,0,0,20,27,0,0,0,0,9,0,35,33,0,7,18,0,9,0,0,9,17,21,37,7,14,4,0,0,0,11,3,19,115,44,263,7,44,21,23,16,34,0,26,118,39,284,860,8,0,294,564,7,35,0,0,3,0,24,3,3,0,3,14,3,0,28,3,0,0,66,15,23,0,30,48,0,129,37,0,58,116,0,565,0,161,11,422,25,49,16,212,214,110,179,4,9,9,65,3,0,202,136,0,127,76,0,6382
Coffs Harbour - South,0,38,0,43,26,28,0,0,0,0,12,5,24,45,3,18,28,0,16,0,4,11,13,39,58,20,37,14,5,53,3,22,89,24,156,106,444,6,49,49,61,89,9,0,34,213,22,370,726,4,3,153,831,9,216,27,4,30,3,100,56,11,0,27,7,43,0,31,5,0,3,166,35,81,0,41,263,4,599,79,0,284,179,3,795,9,107,25,568,389,81,74,1310,952,630,739,3,49,13,137,5,0,230,247,0,287,136,0,13114
